Date,A. sp.,A. tamarense,D. acuta,D. acuminata,D. norvegica,Pn. sp.,P. reticulatum,A. spinosum,sst,par,mld,sss,Region
2017-09-03,0,0,0,0,0,640,0,1200,16.0040314503205,24.6696821451187,14.4213857650757,31.5677038828532,Bømlo
2017-09-10,0,0,0,0,0,900,0,1200,15.5114464882093,20.3216882348061,24.2491557292449,31.7125967465914,Bømlo
2017-09-17,0,0,0,0,0,3000,0,0,15.2271222334642,19.3477379798889,13.7894187095838,32.0134530678774,Bømlo
2017-09-25,0,0,0,0,0,2700,0,1200,15.1144115741436,17.9608367760976,28.7648815741906,31.8030453706399,Bømlo
2017-10-01,0,0,0,40,0,4900,0,0,14.859339934129,13.4960995654265,50.7467644520295,31.5409653492463,Bømlo
2017-10-08,0,0,0,0,0,4580,0,0,14.0224574406942,8.26870214740435,36.7671869718111,31.5206165802784,Bømlo
2017-10-15,0,0,0,0,0,13560,0,2400,13.008057031876,6.83022216955821,57.019475985796,32.0946645492162,Bømlo
2017-10-23,0,0,0,0,0,1800,0,8400,12.5634766358596,4.69437289436658,75.6145629882812,32.5324692359337,Bømlo
2017-10-29,0,0,0,0,0,1800,0,0,12.8504625956217,4.90962716673215,69.447505070613,32.1194219344702,Bømlo
2018-03-05,0,0,0,0,40,5720,0,0,5.14421427555573,11.6265225728353,145.269838382036,33.3007398752066,Bømlo
2018-03-13,0,0,0,0,320,1880,0,0,4.69285023518098,11.2706709861755,121.622927543445,33.3106254186386,Bømlo
2018-03-20,0,0,0,0,120,29801.1479119528,0,0,4.66100594936273,16.1981298089027,146.657032110752,33.400872254983,Bømlo
2018-04-04,0,0,40,80,120,71138.2240478873,0,0,4.50451908356104,22.9180557330449,139.141910063915,33.254884377504,Bømlo
2018-04-09,0,0,0,0,80,2280,0,0,4.95329860540537,24.4181424101194,39.6374508784368,33.2293058542105,Bømlo
2018-04-16,0,0,0,0,120,40,0,0,6.7162851309165,24.6602065881093,3.01076361460563,33.014842008933,Bømlo
